,query,scenario,variable,year_range,file_path
146,I would like to see the full cloud cover data for the ssp126 CO2 emissions scenario for the period 230101-235012.,ssp126,clt,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_230101-235012.nc
146,Deliver the total cloud cover statistics related to the ssp126 CO2 emissions scenario in the time span from 230101 to 235012.,ssp126,clt,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_230101-235012.nc
146,I request the comprehensive cloud coverage data specific to the ssp126 CO2 emissions forecast between 230101 and 235012.,ssp126,clt,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_230101-235012.nc
146,Kindly provide the total cloud cover details corresponding to the ssp126 CO2 emissions model for the duration from 230101 to 235012.,ssp126,clt,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_230101-235012.nc
146,Could you please show me the cloud cover data for the specific ssp126 CO2 emissions scenario between 230101 and 235012?,ssp126,clt,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_230101-235012.nc
146,I am interested in viewing the entire cloud cover information for the ssp126 CO2 emissions projection during the period 230101-235012.,ssp126,clt,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_230101-235012.nc
146,Please display the total cloud cover statistics for the ssp126 CO2 emissions forecast for the timeframe 230101-235012.,ssp126,clt,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_230101-235012.nc
146,Show me total cloud cover data for a ssp126 CO2 emissions scenario for 230101-235012,ssp126,clt,230101-235012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_230101-235012.nc
147,Show me total cloud cover data for a ssp126 CO2 emissions scenario for 235101-240012,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
147,I'd like to see the total cloud cover information related to the ssp126 CO2 emissions scenario for the timeframe between 235101 and 240012.,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
147,Can you provide the total cloud coverage data corresponding to the ssp126 CO2 emissions scenario from 235101 to 240012?,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
147,Please show me the total cloud cover data for the ssp126 CO2 emissions scenario spanning from 235101 to 240012.,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
147,I am interested in the total cloud cover data for the ssp126 CO2 emissions projection during the period of 235101-240012.,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
147,Could you show me the total cloud cover information for the ssp126 CO2 emissions scenario from 235101 through 240012?,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
147,I would like to view the total cloud cover data for the ssp126 CO2 emissions scenario covering the range of 235101-240012.,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
147,Let's examine the total cloud cover data in relation to the ssp126 CO2 emissions scenario over the timeframe 235101 to 240012.,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
147,Kindly provide me with the total cloud cover data pertaining to the ssp126 CO2 emissions scenario for the period 235101-240012.,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
147,Can you display the total cloud cover data for the ssp126 CO2 emissions scenario for the time period 235101-240012?,ssp126,clt,235101-240012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_235101-240012.nc
148,Show me total cloud cover data for a ssp126 CO2 emissions scenario for 240101-245012,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
148,I want to see the complete cloud cover information related to the ssp126 emissions scenario with regard to CO2 for the time frame 240101 to 245012.,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
148,What's the total cloud coverage data for the ssp126 CO2 emissions scenario spanning from 240101 to 245012?,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
148,Can you provide me with the total cloud cover data concerning the ssp126 emission scenario for CO2 emissions from 240101 to 245012?,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
148,Please show me the total cloud cover statistics for the CO2 emissions scenario ssp126 during the period from 240101 to 245012.,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
148,I need the entirety of cloud cover data for the CO2 emissions scenario ssp126 in the period starting from 240101 and ending at 245012.,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
148,Kindly display the total cloud cover data corresponding to the ssp126 CO2 emissions scenario from 240101 through 245012.,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
148,I'm interested in viewing the comprehensive cloud cover data for the ssp126 CO2 emissions scenario during the period 240101-245012.,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
148,Could you present the total cloud coverage data for the ssp126 CO2 emissions scenario for the timeframe 240101 to 245012?,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
148,Show me total cloud cover data for a ssp126 CO2 emissions scenario for 240101-245012,ssp126,clt,240101-245012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_240101-245012.nc
149,Show me total cloud cover data for a ssp126 CO2 emissions scenario for 245101-250012,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
149,I would like to see the complete cloud cover information for the ssp126 CO2 emissions projection during the time frame 245101-250012.,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
149,Kindly display the total cloud cover statistics corresponding to the ssp126 CO2 emissions forecast for the period 245101-250012.,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
149,Please provide the data on total cloud cover associated with the ssp126 CO2 emissions scenario spanning from 245101 to 250012.,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
149,I'm interested in the total cloud cover dataset for the forecast of ssp126 CO2 emissions from 245101 to 250012.,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
149,I would like to explore the total cloud cover data for the ssp126 CO2 emissions scenario projected between 245101 and 250012.,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
149,Could you show me the total cloud cover data for the ssp126 CO2 emissions scenario for the time period 245101-250012?,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
149,Please present the total cloud cover statistics for the ssp126 CO2 emissions scenario during the period 245101 to 250012.,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
149,I am looking for the total cloud cover information related to the ssp126 CO2 emissions scenario for the timeframe 245101-250012.,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
149,Show me total cloud cover data for a ssp126 CO2 emissions scenario for 245101-250012,ssp126,clt,245101-250012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/clt/gn/v20200115/clt_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_245101-250012.nc
150,Show me surface downwelling shortwave radiation data for a ssp126 CO2 emissions scenario for 201501-205012,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
150,I would like to view the surface downwelling shortwave radiation data related to the ssp126 CO2 emissions scenario during the period from January 2015 to December 2050.,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
150,Please provide me with the surface downwelling shortwave radiation data for the ssp126 CO2 emissions scenario covering the time frame of January 2015 to December 2050.,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
150,I'm looking for the surface downwelling shortwave radiation information for the ssp126 CO2 emissions scenario from January 2015 to December 2050.,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
150,Could you show me the surface downwelling shortwave radiation data pertaining to the ssp126 CO2 emissions scenario for the period 201501-205012?,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
150,I need access to the surface downwelling shortwave radiation data associated with the ssp126 CO2 emissions scenario during the years 201501-205012.,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
150,Kindly provide me with the surface downwelling shortwave radiation data with respect to the ssp126 CO2 emissions scenario for the time span 201501-205012.,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
150,I am interested in examining the surface downwelling shortwave radiation data corresponding to the ssp126 CO2 emissions scenario from 201501 to 205012.,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
150,Please share the surface downwelling shortwave radiation data related to the ssp126 CO2 emissions scenario and covering the time range of January 2015 to December 2050.,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
150,I would appreciate it if you could present the surface downwelling shortwave radiation data for the ssp126 CO2 emissions scenario specified for the period 201501-205012.,ssp126,rsds,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_201501-205012.nc
151,Show me surface downwelling shortwave radiation data for a ssp126 CO2 emissions scenario for 205101-210012,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
151,I would like to see surface downwelling shortwave radiation data for the ssp126 CO2 emissions scenario from 205101 to 210012,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
151,Could you provide me with surface downwelling shortwave radiation data related to the ssp126 CO2 emissions scenario for the time frame of 205101-210012?,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
151,I am interested in examining surface downwelling shortwave radiation data regarding the ssp126 CO2 emissions scenario for the period from 205101 to 210012,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
151,Please present the surface downwelling shortwave radiation data associated with the ssp126 CO2 emissions scenario for the time span of 205101-210012,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
151,Kindly show me the surface downwelling shortwave radiation data pertaining to the ssp126 CO2 emissions scenario during the years 205101-210012,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
151,I am seeking information specifically on surface downwelling shortwave radiation data for the ssp126 CO2 emissions scenario between 205101 and 210012,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
151,Could you share the surface downwelling shortwave radiation data corresponding to the ssp126 CO2 emissions scenario for the duration 205101-210012?,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
151,I would appreciate it if you could provide the data on surface downwelling shortwave radiation for the ssp126 CO2 emissions scenario from 205101 to 210012,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
151,I am looking for surface downwelling shortwave radiation data specific to the ssp126 CO2 emissions scenario from 205101 to 210012,ssp126,rsds,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_205101-210012.nc
152,Show me surface downwelling shortwave radiation data for a ssp126 CO2 emissions scenario for 210101-215012,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
152,I want to see the surface downwelling shortwave radiation information related to the ssp126 CO2 emissions scenario for the time period spanning from 210101 to 215012.,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
152,Please provide me with the data on surface downwelling shortwave radiation corresponding to the ssp126 CO2 emissions scenario covering the period between 210101 and 215012.,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
152,I am looking for data on surface downwelling shortwave radiation for the ssp126 CO2 emissions scenario from the year 210101 to 215012.,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
152,Could you show me the surface downwelling shortwave radiation data associated with the ssp126 CO2 emissions scenario for the time frame 210101-215012?,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
152,I am interested in accessing the surface downwelling shortwave radiation data pertaining to the ssp126 CO2 emissions scenario between 210101 and 215012.,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
152,I need the surface downwelling shortwave radiation data regarding the ssp126 CO2 emissions scenario from 210101 to 215012.,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
152,"Show me the data on surface downwelling shortwave radiation for the ssp126 CO2 emissions scenario, covering the period of 210101-215012.",ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
152,I would like to review the surface downwelling shortwave radiation data associated with the ssp126 CO2 emissions scenario for the timeframe 210101-215012.,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
152,Show me surface downwelling shortwave radiation data for a ssp126 CO2 emissions scenario for 210101-215012,ssp126,rsds,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_210101-215012.nc
153,Show me surface downwelling shortwave radiation data for a ssp126 CO2 emissions scenario for 215101-220012,ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
153,I would like to view the surface downwelling shortwave radiation data corresponding to the ssp126 CO2 emissions scenario during the period of 215101-220012.,ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
153,Could you please provide me with the surface downwelling shortwave radiation data linked to the ssp126 CO2 emissions scenario for the timeframe 215101-220012?,ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
153,I am interested in examining the surface downwelling shortwave radiation data for the specified ssp126 CO2 emissions scenario covering the period from 215101 to 220012.,ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
153,"For the ssp126 CO2 emissions scenario, I am seeking surface downwelling shortwave radiation data specific to the time range 215101-220012.",ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
153,Kindly show me the surface downwelling shortwave radiation data related to the ssp126 CO2 emissions scenario for the time span 215101-220012.,ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
153,I need access to the surface downwelling shortwave radiation data associated with the ssp126 CO2 emissions scenario throughout the duration of 215101-220012.,ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
153,Please present the surface downwelling shortwave radiation data for the ssp126 CO2 emissions scenario attributed to the period 215101-220012.,ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
153,I am requesting the surface downwelling shortwave radiation data pertaining to the ssp126 CO2 emissions scenario for the timeframe 215101-220012.,ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
153,Could you please share the surface downwelling shortwave radiation data corresponding to the ssp126 CO2 emissions scenario during 215101-220012?,ssp126,rsds,215101-220012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp126/r3i1p1f2/Amon/rsds/gn/v20200115/rsds_Amon_GISS-E2-1-G_ssp126_r3i1p1f2_gn_215101-220012.nc
